,sa_5hz,PGA,rot_lin,rot_nlin
0,1.9468199,0.67524008,0.26814825,0.26814825
1,2.4494514,1.2581131,0.30378199,0.30378199
2,7.9624167,1.3726831,1.1395997,1.5855
3,1.7937173,0.48077184,0.16361549,0.16361549
4,22.830087,4.5911961,3.1733458,7.764
5,4.6806314,1.3647236,0.63797247,0.63797247
6,8.2320351,1.3081178,1.2678361,0.93445
7,2.1370762,0.51235815,0.33526303,0.33526303
8,3.2537174,1.0030535,0.41799688,0.41799688
9,4.3074661,1.7051087,0.59452598,0.59452598
10,0.41828954,0.57888324,0.1170644,0.1170644
11,7.8020535,1.5452552,0.81809905,0.81809905
12,7.1055971,2.2442642,0.71259796,0.71259796
13,14.390801,4.4016364,2.2260724,7.037
14,20.062615,3.5827625,2.7205471,7.7757
15,5.9743294,1.7749952,0.79125579,0.79125579
16,0.93020177,0.20804845,0.19081151,0.19081151
17,4.19313,1.165017,0.53118477,0.53118477
18,1.2739947,2.3515324,0.20800397,0.20800397
19,8.007352,1.1694019,1.2933308,2.4718
20,9.1556281,2.5132311,0.71389518,0.71389518
21,6.5595631,2.2281753,0.76729853,0.76729853
22,1.6987135,0.81054916,0.30162056,0.30162056
23,2.858615,1.0892516,0.33168715,0.33168715
24,2.909056,1.2811709,0.29309371,0.29309371
25,9.1326882,2.3496868,1.2104648,1.4532
26,8.5675225,1.2906051,1.0281533,1.0281533
27,3.8833243,1.0207644,0.55760011,0.55760011
28,8.4742027,0.94647916,1.3482323,2.5756
29,11.890765,2.5936814,1.0863409,1.4714
30,17.460787,6.8556161,1.9028846,4.979
31,4.4998135,0.86028978,0.57931742,0.57931742
32,5.7497899,1.2123739,0.7563854,0.7563854
33,2.3742741,1.0247491,0.38118024,0.38118024
34,4.2853849,1.5901487,0.67949764,0.67949764
35,7.3214393,1.7536846,0.99107393,0.99107393
36,0.2692264,0.082626463,0.097687072,0.097687072
37,6.9072902,3.1997272,0.6667759,0.6667759
38,1.209731,0.3786225,0.20708767,0.20708767
39,3.2736451,0.62796097,0.39940244,0.39940244
40,0.1061132,0.087847756,0.090677715,0.090677715
41,0.65026779,0.73923128,0.18874158,0.18874158
42,26.02382,3.7126599,3.2414202,7.2003
43,4.5536737,2.3411903,0.42776162,0.42776162
44,6.1225863,0.91195086,0.81913883,0.81913883
45,9.9660948,5.1697025,0.61298818,0.61298818
46,9.1275608,1.5778053,1.2313559,2.0938
47,2.90658,0.54944596,0.38316311,0.38316311
48,24.624817,2.4352485,3.4224926,8.1423
49,7.6055808,2.5262323,0.96833469,0.96833469
50,9.7273082,2.7012336,0.96533261,0.96533261
51,3.9156834,0.7744695,0.61776459,0.61776459
52,23.350225,6.9708844,2.5974477,7.1783
53,12.062117,2.5540623,1.6275185,4.475
54,3.2126062,0.89567003,0.48189038,0.48189038
55,3.6513215,0.72033305,0.65202932,0.65202932
56,4.4979904,4.0181944,0.45296577,0.45296577
57,6.0804603,1.2891212,1.0752069,1.3154
58,10.992051,2.1696846,1.2393909,2.4281
59,9.2635062,2.1419911,1.229261,2.0624
60,4.3660806,2.1978345,0.61495448,0.61495448
61,0.877428,0.32932194,0.17708469,0.17708469
62,0.89781458,0.332231,0.11723256,0.11723256
63,2.6895103,1.3848217,0.30925144,0.30925144
64,1.2199619,0.84157059,0.18068689,0.18068689
65,2.2540791,1.6536798,0.26644062,0.26644062
66,2.4346397,0.65281586,0.34391118,0.34391118
67,7.9089739,2.5216182,1.097116,1.4421
68,2.6740119,0.49597611,0.38791636,0.38791636
69,2.4907647,0.39273991,0.42761518,0.42761518
70,14.343307,2.2693398,1.9369924,5.8562
71,0.67705452,0.31437396,0.15209142,0.15209142
72,0.22221446,0.033259723,0.10974445,0.10974445
73,2.6712531,0.58250281,0.46181813,0.46181813
74,0.62742691,0.34282335,0.15025944,0.15025944
75,4.8252582,1.0661216,0.63729599,0.63729599
76,0.73183389,0.9114704,0.13819521,0.13819521
77,1.1448625,0.39117267,0.16700511,0.16700511
78,10.616236,1.6256042,1.4129702,2.8954
79,0.93471106,0.13099045,0.20342659,0.20342659
80,6.9269776,0.98322932,1.0328773,1.0328773
81,1.1957366,0.84130867,0.21039521,0.21039521
82,11.942768,2.4536139,1.6389396,3.9875
83,2.6789657,0.921035,0.45751002,0.45751002
84,1.502992,0.81334258,0.21812703,0.21812703
85,1.9355785,0.25011693,0.31906666,0.31906666
86,2.82533,0.77251468,0.35435713,0.35435713
87,7.3712921,0.78501289,0.85802681,0.85802681
88,0.68097045,0.50091347,0.12222253,0.12222253
89,1.1188707,0.40570629,0.23070857,0.23070857
90,8.0104231,1.4263764,0.99129834,0.99129834
91,1.2893596,0.65739437,0.23496229,0.23496229
92,6.2745687,1.0051583,0.66956279,0.66956279
93,1.8621263,0.49605988,0.23028717,0.23028717
94,1.0609321,0.22593726,0.25582274,0.25582274
95,7.2022721,2.2306987,0.99144175,0.99144175
96,6.3092719,1.5118247,0.80434746,0.80434746
97,25.523611,4.7334409,3.2750587,8.3358
98,1.245001,0.29063173,0.22981387,0.22981387
99,1.6795589,0.52513994,0.36175937,0.36175937
100,0.89124861,0.40937106,0.1771803,0.1771803
101,8.8110333,1.0368809,1.0500356,1.1663
102,3.7736135,1.0277657,0.37355876,0.37355876
103,3.4733428,2.0760197,0.36677087,0.36677087
104,2.6228564,0.51101586,0.39855806,0.39855806
105,6.4690458,2.363272,0.83094473,0.83094473
106,0.076256885,0.022489557,0.087474521,0.087474521
107,5.1855038,1.7020961,0.62887162,0.62887162
108,1.6822671,0.51737749,0.32775877,0.32775877
109,13.777748,1.4242758,2.115806,6.4973
110,3.6115431,0.71603469,0.4813731,0.4813731
111,0.1241814,0.062666421,0.097242334,0.097242334
112,1.9027551,0.38709639,0.36516992,0.36516992
113,3.5920032,1.7715949,0.58432865,0.58432865
114,4.280629,1.7205237,0.51037339,0.51037339
115,2.5738879,0.66884544,0.25914535,0.25914535
116,9.0746793,2.0800601,1.2160079,2.0371
117,2.5471683,0.40456555,0.42276365,0.42276365
118,6.1012963,1.9926083,0.81011362,0.81011362
119,12.443093,5.2947419,1.7137486,4.7887
120,8.0136033,1.0569368,0.97005479,0.97005479
121,5.1443992,1.7626695,0.70905734,0.70905734
122,2.8581967,0.6881604,0.49058584,0.49058584
123,2.4297915,0.92212643,0.28797966,0.28797966
124,0.44265191,0.10144522,0.11835465,0.11835465
125,1.3532288,0.6152045,0.1948607,0.1948607
